Data,Dolar,IBOVESPA,IPCA,IGPM,IGPDI,IGP10,INPC
jan/2019,-4.976512305892592,10.817299486841057,0.32,0.01,0.07,-0.26,0.36
fev/2019,1.2468046736361604,-1.8584307041501529,0.43,0.88,1.25,0.4,0.54
mar/2019,4.571677780990978,-0.17680783394710411,0.75,1.26,1.07,1.4,0.77
abr/2019,1.1955733921763205,0.98307394015616,0.57,0.92,0.9,1.0,0.6
mai/2019,0.9051056804891174,0.7026247236723299,0.13,0.45,0.4,0.7,0.15
jun/2019,-4.120603857948055,4.057507987220448,0.01,0.8,0.63,0.49,0.01
jul/2019,-0.6996860572114623,0.8369071082630958,0.19,0.4,-0.01,0.61,0.1
ago/2019,9.996567144909017,-0.6649510863159549,0.11,-0.67,-0.51,-0.47,0.12
set/2019,-0.26390153502878744,3.5694863301527664,-0.04,-0.01,0.5,-0.29,-0.05
out/2019,-4.111041307188254,2.362881283116139,0.1,0.68,0.55,0.77,0.04
nov/2019,5.062468094574336,0.9447864204439471,0.51,0.3,0.85,0.19,0.54
dez/2019,-4.113881642146026,7.1429231380447735,1.15,2.09,1.74,1.69,1.22
jan/2020,5.640074114569801,-1.8997275016384394,0.21,0.48,0.09,1.07,0.19
fev/2020,5.718730139746494,-8.429074990550363,0.25,-0.04,0.01,0.01,0.17
mar/2020,15.784428939959112,-29.904388895288562,0.07,1.24,1.64,0.64,0.18
abr/2020,2.736531280736677,10.251985757326759,-0.31,0.8,0.05,1.13,-0.23
mai/2020,1.2896538273629174,8.56706332447271,-0.38,0.28,1.07,0.07,-0.25
jun/2020,-0.02776167073370142,8.755992357241741,0.26,1.56,1.6,1.55,0.3
jul/2020,-4.594508353543222,8.264601918868877,0.36,2.23,2.34,1.91,0.44
ago/2020,4.58099135200109,-3.4427472014925375,0.24,2.74,3.87,2.53,0.36
set/2020,4.461966219934819,-4.796264428544114,0.64,4.34,3.3,4.34,0.87
out/2020,2.6161130906518233,-0.6881388539475493,0.86,3.23,3.68,3.2,0.89
nov/2020,-7.53400718416595,15.897479564032698,0.89,3.28,2.64,3.51,0.95
dez/2020,-2.8387719245789573,9.56762912350305,1.35,0.96,0.76,1.97,1.46
jan/2021,4.761280979990958,-2.765158499991618,0.25,2.58,2.91,1.33,0.27
fev/2021,1.6556839575282634,-5.147965208996009,0.86,2.53,2.71,2.97,0.82
mar/2021,4.406177842371706,5.997182714590812,0.93,2.94,2.17,2.99,0.86
abr/2021,-7.540365841749476,1.9376854090573932,0.31,1.51,2.22,1.58,0.38
mai/2021,-1.843941896708158,6.158426833986576,0.83,4.1,3.4,3.24,0.96
jun/2021,-5.400913728522527,0.46428345059263487,0.53,0.6,0.11,2.32,0.6
jul/2021,2.528706364507172,-3.9439441018280466,0.96,0.78,1.45,0.18,1.02
ago/2021,2.017556925697444,-2.4794541916733035,0.87,0.66,-0.14,1.18,0.88
set/2021,4.464682226474146,-6.5683905675150065,1.16,-0.64,-0.55,-0.37,1.2
out/2021,4.259089479955718,-6.73821173375143,1.25,0.64,1.6,-0.31,1.16
nov/2021,-0.783006691972851,-1.532352344421793,0.95,0.02,-0.58,1.19,0.84
dez/2021,-0.5445736369759395,2.852376980817348,0.73,0.87,1.25,-0.14,0.73
jan/2022,-3.7269778101478948,7.2179504302531905,0.54,1.82,2.01,1.79,0.67
fev/2022,-3.7892042876398904,0.6708901306189272,1.01,1.83,1.5,1.98,1.0
mar/2022,-7.553202638879723,6.060525711053367,1.62,1.74,2.37,1.18,1.71
abr/2022,3.5243281221851595,-10.102584188201568,1.06,1.41,0.41,2.48,1.04
mai/2022,-3.7547088128736186,3.2212911120175014,0.47,0.52,0.69,0.1,0.45
jun/2022,9.01650076932686,-11.503264452048029,0.67,0.59,0.62,0.74,0.62
jul/2022,0.034744161025150634,4.6914006210549815,-0.68,0.21,-0.38,0.6,-0.6
ago/2022,-1.1731351165848276,6.162942858527601,-0.36,-0.7,-0.55,-0.69,-0.31
set/2022,5.355436342906043,0.4693078166229925,-0.29,-0.95,-1.22,-0.9,-0.32
out/2022,-1.9958553112705064,5.452711360724121,0.59,-0.97,-0.62,-1.04,0.47
nov/2022,-0.38385009252723973,-3.0602307884554065,0.41,-0.56,-0.18,-0.59,0.38
dez/2022,0.3112991273885304,-2.1824938214533365,0.62,0.45,0.31,0.36,0.69
jan/2023,-3.2112113672872518,3.1818305750197675,0.53,0.21,0.06,0.05,0.46
fev/2023,1.6578968245940535,-7.574956840362189,0.84,-0.06,0.04,0.02,0.77
mar/2023,-2.0578086545620677,-2.906644302977166,0.71,0.05,-0.34,0.05,0.64
abr/2023,-2.2875861667318653,2.50289550656642,0.61,-0.95,-1.01,-0.58,0.53
mai/2023,1.1776043499292055,3.7373601961084724,0.23,-1.84,-2.33,-1.53,0.36
jun/2023,-3.559231162124348,9.001707666035907,-0.08,-1.93,-1.45,-2.2,-0.1
jul/2023,-2.724687027732978,3.265389077544522,0.12,-0.72,-0.4,-1.1,-0.09
ago/2023,3.495439594131651,-5.085162739968673,0.23,-0.14,0.05,-0.13,0.2
set/2023,2.953934160108579,0.7110642636208118,0.26,0.37,0.45,0.18,0.11
out/2023,0.26426524984918826,-2.9348432205207393,0.24,0.5,0.51,0.52,0.12
nov/2023,-2.8140582714438516,12.538888496075797,0.28,0.59,0.5,0.52,0.1
dez/2023,-1.0990755828860566,5.382821151172927,0.56,0.74,0.64,0.62,0.55
jan/2024,2.063833177982594,-4.794127510526512,0.42,0.27,-0.27,0.53,0.57
fev/2024,0.3434078900878984,0.9925480618698728,0.83,-0.52,-0.41,-0.65,0.81
mar/2024,0.942164498790124,-0.7084172996434661,0.16,-0.47,-0.3,-0.17,0.19
abr/2024,2.052213292402616,-1.7032769737561082,0.38,0.31,0.72,-0.33,0.37
mai/2024,1.663077885482112,-3.038340586385439,0.46,0.89,0.87,1.08,0.46
jun/2024,5.736152967745638,1.4815967501515175,0.21,0.81,0.5,0.83,0.25
jul/2024,2.0107261266095584,3.022428111406135,0.38,0.61,0.83,0.45,0.26
ago/2024,0.29583601377712704,6.5427882054335225,-0.02,0.29,0.12,0.72,-0.14
set/2024,-3.4561183893567793,-3.079321196435399,0.44,0.62,1.03,0.18,0.48
out/2024,6.057206418046443,-1.5954057170601443,0.56,1.52,1.54,1.34,0.61
nov/2024,4.366308384374954,-3.1184229799634577,0.39,1.3,1.18,1.45,0.33
dez/2024,2.7270164069919733,-4.285100423337684,0.52,0.94,0.87,1.14,0.48
